고유 ID,주문 번호,주문 일자,배송 일자,배송 방법,고객번호,고객명,고객 세그먼트,시군구,시도,국가,지역,제품 코드,제품 대분류,제품 중분류,제품명,매출,수량,할인율,수익
6,IN-2012-29067,2013-05-31,2013-06-04,빠른 배송,ST-20530,정연희,소비자,청도군,경상북도,대한민국,영남,OFF-BI-10000168,사무용품,바인더,"Cardinal Hole Reinforcements, Recycled",11628,2,0,2876.4
8,IN-2012-79397,2013-01-03,2013-01-03,당일 배송,KN-16450,최이슬,기업 고객,사천시,경상남도,대한민국,영남,OFF-LA-10003396,사무용품,라벨,"Avery Color Coded Labels, Laser Printer Compatible",36600.66,3,0.1,4837.86
9,IN-2012-79397,2013-01-03,2013-01-03,당일 배송,KN-16450,최이슬,기업 고객,사천시,경상남도,대한민국,영남,OFF-AP-10000304,사무용품,가전,"Hoover Microwave, White",281624.04,1,0.1,112620.24
12,ID-2012-65117,2013-07-12,2013-07-16,표준 배송,SW-20245,임단비,소비자,진천군,충청북도,대한민국,충청,OFF-SU-10004177,사무용품,일반 사무용품,"Fiskars Box Cutter, Easy Grip",62506.62,3,0.45,-26172.18
13,ID-2012-65117,2013-07-12,2013-07-16,표준 배송,SW-20245,임단비,소비자,진천군,충청북도,대한민국,충청,TEC-PH-10001354,사무기기,전화기,"Motorola Speaker Phone, Full Size",601611.3,6,0.25,24005.7
14,ID-2012-65117,2013-07-12,2013-07-16,표준 배송,SW-20245,임단비,소비자,진천군,충청북도,대한민국,충청,OFF-BI-10000089,사무용품,바인더,"Wilson Jones 3-Hole Punch, Recycled",221215.05,9,0.15,88472.25
15,ID-2012-65117,2013-07-12,2013-07-16,표준 배송,SW-20245,임단비,소비자,진천군,충청북도,대한민국,충청,OFF-EN-10003463,사무용품,봉투,"Jiffy Peel and Seal, Recycled",52762.05,5,0.45,-5836.95
16,ID-2012-65117,2013-07-12,2013-07-16,표준 배송,SW-20245,임단비,소비자,진천군,충청북도,대한민국,충청,FUR-CH-10001871,가구,의자,"Harbour Creations Steel Folding Chair, Set of Two",612856.8,8,0.25,-155325.6
28,IN-2012-32126,2013-09-03,2013-09-09,표준 배송,GA-14515,강현정,소비자,영동군,충청북도,대한민국,충청,FUR-CH-10001313,가구,의자,"SAFCO Steel Folding Chair, Black",254836.8,4,0.25,71236.8
29,IN-2012-32126,2013-09-03,2013-09-09,표준 배송,GA-14515,강현정,소비자,영동군,충청북도,대한민국,충청,OFF-ST-10003837,사무용품,수납용품,"Tenex Lockers, Single Width",572724.9,5,0.45,-322937.1
45,IN-2012-38202,2013-08-18,2013-08-24,표준 배송,DV-13045,윤승혁,기업 고객,강진군,전라남도,대한민국,호남,TEC-AC-10001639,사무기기,악세사리,"Belkin Flash Drive, Erganomic",109471.5,3,0.1,9684.9
