고유 ID,주문 번호,주문 일자,배송 일자,배송 방법,고객번호,고객명,고객 세그먼트,시군구,시도,국가,지역,제품 코드,제품 대분류,제품 중분류,제품명,매출,수량,할인,이익
5,IN-2015-63178,2016-06-24,2016-06-30,표준 배송,SO-20335,강희수,소비자,제주시,제주특별자치도,대한민국,호남,OFF-AP-10002882,사무용품,가전,"KitchenAid Coffee Grinder, Silver",123495.48,2,0.15,37754.28
17,ID-2015-39084,2016-06-13,2016-06-17,표준 배송,PO-18865,최유미,소비자,울주군,울산광역시,대한민국,영남,TEC-CO-10000666,사무기기,복사기,"Hewlett Copy Machine, Laser",698298.12,4,0.35,-64498.68
18,ID-2015-44908,2016-02-27,2016-03-04,표준 배송,AI-10855,허동춘,소비자,완도군,전라남도,대한민국,호남,OFF-SU-10004848,사무용품,일반 사무용품,"Kleencut Shears, High Speed",126419.31,5,0.47,-85944.69
19,ID-2015-44908,2016-02-27,2016-03-04,표준 배송,AI-10855,허동춘,소비자,완도군,전라남도,대한민국,호남,OFF-PA-10003332,사무용품,종이,"Xerox Cards & Envelopes, Recycled",48524.256,2,0.47,-15613.344
22,ID-2015-62926,2016-09-18,2016-09-19,특급 배송,MC-18100,정희성,소비자,서초구,서울특별시,대한민국,서울경기,TEC-MA-10003553,사무기기,전산기기,"Epson Printer, Red",397448.1,2,0.25,-84807.9
23,ID-2015-64914,2016-03-27,2016-03-28,특급 배송,AS-10285,주소연,기업 고객,구로구,서울특별시,대한민국,서울경기,FUR-TA-10000147,가구,탁자,"Lesro Coffee Table, Rectangular",1069157.88,6,0.3,-290216.52
30,IN-2015-12575,2016-11-24,2016-11-29,표준 배송,TG-21310,남주석,소비자,여주시,경기도,대한민국,서울경기,OFF-AR-10000058,사무용품,필기구,"Stanley Canvas, Water Color",96665.4,2,0.1,25734.6
31,IN-2015-29697,2016-10-06,2016-10-06,당일 배송,JC-15340,강지환,소비자,강동구,서울특별시,대한민국,서울경기,OFF-AR-10004486,사무용품,필기구,"Sanford Canvas, Blue",139132.08,3,0.1,24657.48
32,IN-2015-29697,2016-10-06,2016-10-06,당일 배송,JC-15340,강지환,소비자,강동구,서울특별시,대한민국,서울경기,OFF-PA-10000694,사무용품,종이,"Green Bar Message Books, Premium",65517.66,3,0.1,15945.66
33,IN-2015-29697,2016-10-06,2016-10-06,당일 배송,JC-15340,강지환,소비자,강동구,서울특별시,대한민국,서울경기,TEC-CO-10003702,사무기기,복사기,"Brother Ink, Digital",809345.52,6,0.1,350712.72
38,ID-2015-76618,2016-08-12,2016-08-14,빠른 배송,RB-19330,허아라,소비자,서천군,충청남도,대한민국,충청,OFF-ST-10004830,사무용품,수납용품,"Eldon Lockers, Blue",181681.38,1,0.1,-16178.22
39,ID-2015-76618,2016-08-12,2016-08-14,빠른 배송,RB-19330,허아라,소비자,서천군,충청남도,대한민국,충청,FUR-CH-10003836,가구,의자,"Harbour Creations Rocking Chair, Red",405085.86,3,0.1,71943.66
40,ID-2015-76618,2016-08-12,2016-08-14,빠른 배송,RB-19330,허아라,소비자,서천군,충청남도,대한민국,충청,OFF-BI-10000340,사무용품,바인더,"Avery Binding Machine, Clear",620751.6,14,0.1,0
41,ID-2015-76618,2016-08-12,2016-08-14,빠른 배송,RB-19330,허아라,소비자,서천군,충청남도,대한민국,충청,FUR-FU-10004158,가구,가구류,"Deflect-O Frame, Black",101016.72,1,0.1,30300.12
50,IN-2015-71235,2016-09-17,2016-09-17,당일 배송,NC-18625,유원경,기업 고객,서대문구,서울특별시,대한민국,서울경기,FUR-BO-10000112,가구,책장,"Dania Corner Shelving, Pine",339898.68,3,0.1,67895.28
51,IN-2015-71235,2016-09-17,2016-09-17,당일 배송,NC-18625,유원경,기업 고객,서대문구,서울특별시,대한민국,서울경기,OFF-PA-10000453,사무용품,종이,"Xerox Cards & Envelopes, 8.5 x 11",90165.96,2,0.1,24987.96
53,ID-2015-17265,2016-03-01,2016-03-05,표준 배송,KB-16240,홍희창,기업 고객,노원구,서울특별시,대한민국,서울경기,OFF-EN-10001491,사무용품,봉투,"Jiffy Interoffice Envelope, Set of 50",284212.8,6,0,56732.4
76,IN-2015-32091,2016-07-11,2016-07-15,표준 배송,CK-12595,유휘재,소비자,정선군,강원도,대한민국,강원,FUR-FU-10000666,가구,가구류,"Rubbermaid Frame, Black",224175.6,2,0,60526.8
77,IN-2015-32091,2016-07-11,2016-07-15,표준 배송,CK-12595,유휘재,소비자,정선군,강원도,대한민국,강원,OFF-ST-10001824,사무용품,수납용품,"Rogers Box, Single Width",73440,3,0,4406.4
83,IN-2015-29753,2016-11-13,2016-11-19,표준 배송,NS-18640,이성혜,기업 고객,동대문구,서울특별시,대한민국,서울경기,OFF-LA-10003778,사무용품,라벨,"Novimex File Folder Labels, Alphabetical",32925.6,4,0,8445.6
84,IN-2015-29753,2016-11-13,2016-11-19,표준 배송,NS-18640,이성혜,기업 고객,동대문구,서울특별시,대한민국,서울경기,TEC-AC-10001278,사무기기,악세사리,"Enermax Flash Drive, USB",127693.8,3,0,30569.4
85,IN-2015-29753,2016-11-13,2016-11-19,표준 배송,NS-18640,이성혜,기업 고객,동대문구,서울특별시,대한민국,서울경기,OFF-ST-10000704,사무용품,수납용품,"Rogers File Cart, Blue",573933.6,4,0,212241.6
86,IN-2015-55513,2016-12-09,2016-12-13,표준 배송,CR-12580,서지선,홈 오피스,창원시,경상남도,대한민국,영남,OFF-ST-10003810,사무용품,수납용품,"Tenex Box, Single Width",118024.2,7,0,41126.4
87,IN-2015-55513,2016-12-09,2016-12-13,표준 배송,CR-12580,서지선,홈 오피스,창원시,경상남도,대한민국,영남,OFF-EN-10000114,사무용품,봉투,"Kraft Clasp Envelope, Security-Tint",46512,4,0,856.8
88,IN-2015-76674,2016-09-14,2016-09-20,표준 배송,MZ-17515,손예준,기업 고객,합천군,경상남도,대한민국,영남,OFF-AR-10001405,사무용품,필기구,"Binney & Smith Highlighters, Fluorescent",54621,3,0,7068.6
89,IN-2015-76674,2016-09-14,2016-09-20,표준 배송,MZ-17515,손예준,기업 고객,합천군,경상남도,대한민국,영남,FUR-CH-10002188,가구,의자,"SAFCO Steel Folding Chair, Set of Two",358876.8,4,0,150674.4
91,IN-2015-47463,2016-02-28,2016-03-05,표준 배송,ZC-21910,이유영,소비자,부산진구,부산광역시,대한민국,영남,OFF-BI-10002424,사무용품,바인더,"Avery Binder, Economy",15789.6,2,0.4,244.8
93,ID-2015-17657,2016-06-25,2016-06-30,표준 배송,FC-14245,유옥자,홈 오피스,옥천군,충청북도,대한민국,충청,OFF-PA-10004260,사무용품,종이,"Xerox Memo Slips, Recycled",29062.656,4,0.47,-5576.544
99,IN-2015-60476,2016-11-03,2016-11-07,표준 배송,HM-14980,임강준,소비자,동구,대전광역시,대한민국,충청,OFF-FA-10001187,사무용품,파스너,"Stockwell Paper Clips, Bulk Pack",27784.8,2,0,9424.8
100,IN-2015-60476,2016-11-03,2016-11-07,표준 배송,HM-14980,임강준,소비자,동구,대전광역시,대한민국,충청,OFF-FA-10001045,사무용품,파스너,"Stockwell Staples, 12 Pack",50184,5,0,3978
101,IN-2015-60476,2016-11-03,2016-11-07,표준 배송,HM-14980,임강준,소비자,동구,대전광역시,대한민국,충청,OFF-EN-10003000,사무용품,봉투,"Cameo Mailers, Recycled",188496,5,0,75276
102,IN-2015-60476,2016-11-03,2016-11-07,표준 배송,HM-14980,임강준,소비자,동구,대전광역시,대한민국,충청,OFF-BI-10001904,사무용품,바인더,"Cardinal Binder Covers, Durable",27540,2,0,13464
103,IN-2015-60476,2016-11-03,2016-11-07,표준 배송,HM-14980,임강준,소비자,동구,대전광역시,대한민국,충청,OFF-AR-10002727,사무용품,필기구,"Stanley Pencil Sharpener, Fluorescent",50551.2,2,0,14137.2
106,IN-2015-57410,2016-10-17,2016-10-23,표준 배송,CS-12250,구용성,기업 고객,동작구,서울특별시,대한민국,서울경기,OFF-BI-10004334,사무용품,바인더,"Avery Hole Reinforcements, Durable",12056.4,2,0,2019.6
107,IN-2015-57410,2016-10-17,2016-10-23,표준 배송,CS-12250,구용성,기업 고객,동작구,서울특별시,대한민국,서울경기,OFF-ST-10001026,사무용품,수납용품,"Fellowes Trays, Single Width",292842,5,0,131733
108,IN-2015-57410,2016-10-17,2016-10-23,표준 배송,CS-12250,구용성,기업 고객,동작구,서울특별시,대한민국,서울경기,OFF-EN-10003838,사무용품,봉투,"Cameo Peel and Seal, with clear poly window",25030.8,1,0,7252.2
113,IN-2015-13597,2016-11-03,2016-11-07,표준 배송,AC-10450,민문희,소비자,대덕구,대전광역시,대한민국,충청,OFF-LA-10002088,사무용품,라벨,"Novimex Round Labels, Laser Printer Compatible",6395.4,1,0,2998.8
114,IN-2015-13597,2016-11-03,2016-11-07,표준 배송,AC-10450,민문희,소비자,대덕구,대전광역시,대한민국,충청,FUR-TA-10002256,가구,탁자,"Hon Wood Table, Fully Assembled",2717280,5,0,923814
117,IN-2015-25161,2016-07-14,2016-07-20,표준 배송,MS-17710,한정호,소비자,음성군,충청북도,대한민국,충청,OFF-SU-10001686,사무용품,일반 사무용품,"Kleencut Trimmer, Easy Grip",118559.7,3,0.1,10511.1
130,IN-2015-16887,2016-05-05,2016-05-07,빠른 배송,CC-12475,노재성,소비자,수성구,대구광역시,대한민국,영남,TEC-CO-10002040,사무기기,복사기,"Brother Fax Machine, Digital",1298174.4,4,0,545169.6
132,IN-2015-53427,2016-05-09,2016-05-15,표준 배송,LT-16765,문희진,소비자,북구,부산광역시,대한민국,영남,OFF-BI-10002907,사무용품,바인더,"Wilson Jones 3-Hole Punch, Economy",57099.6,2,0,7956
133,IN-2015-53427,2016-05-09,2016-05-15,표준 배송,LT-16765,문희진,소비자,북구,부산광역시,대한민국,영남,OFF-AP-10002371,사무용품,가전,"KitchenAid Blender, Silver",100827,1,0,43329.6
134,IN-2015-53427,2016-05-09,2016-05-15,표준 배송,LT-16765,문희진,소비자,북구,부산광역시,대한민국,영남,FUR-TA-10004711,가구,탁자,"Lesro Conference Table, Adjustable Height",4384827,5,0,306918
135,IN-2015-53427,2016-05-09,2016-05-15,표준 배송,LT-16765,문희진,소비자,북구,부산광역시,대한민국,영남,OFF-PA-10004124,사무용품,종이,"SanDisk Message Books, 8.5 x 11",114076.8,4,0,3304.8
136,IN-2015-63591,2016-12-13,2016-12-18,표준 배송,ZD-21925,강현석,소비자,고양시,경기도,대한민국,서울경기,FUR-TA-10003576,가구,탁자,"Hon Coffee Table, Adjustable Height",454232.52,2,0.3,64878.12
150,IN-2015-76058,2016-03-13,2016-03-15,특급 배송,FO-14305,오승리,소비자,광진구,서울특별시,대한민국,서울경기,OFF-PA-10000382,사무용품,종이,"SanDisk Computer Printout Paper, Multicolor",63648,2,0,26071.2
151,IN-2015-76058,2016-03-13,2016-03-15,특급 배송,FO-14305,오승리,소비자,광진구,서울특별시,대한민국,서울경기,OFF-AR-10001773,사무용품,필기구,"Sanford Markers, Water Color",53917.2,2,0,11811.6
152,IN-2015-76058,2016-03-13,2016-03-15,특급 배송,FO-14305,오승리,소비자,광진구,서울특별시,대한민국,서울경기,OFF-FA-10003604,사무용품,파스너,"Stockwell Paper Clips, Assorted Sizes",46267.2,4,0,6364.8
153,IN-2015-76058,2016-03-13,2016-03-15,특급 배송,FO-14305,오승리,소비자,광진구,서울특별시,대한민국,서울경기,FUR-CH-10004694,가구,의자,"Office Star Rocking Chair, Black",988747.2,7,0,355786.2
154,IN-2015-76058,2016-03-13,2016-03-15,특급 배송,FO-14305,오승리,소비자,광진구,서울특별시,대한민국,서울경기,OFF-PA-10000302,사무용품,종이,"Eaton Computer Printout Paper, Multicolor",85557.6,3,0,31579.2
155,IN-2015-76058,2016-03-13,2016-03-15,특급 배송,FO-14305,오승리,소비자,광진구,서울특별시,대한민국,서울경기,OFF-EN-10003601,사무용품,봉투,"GlobeWeis Clasp Envelope, Set of 50",50490,5,0,0
156,IN-2015-76058,2016-03-13,2016-03-15,특급 배송,FO-14305,오승리,소비자,광진구,서울특별시,대한민국,서울경기,FUR-FU-10000496,가구,가구류,"Eldon Clock, Duo Pack",115423.2,2,0,54223.2
157,IN-2015-17489,2016-12-22,2016-12-26,표준 배송,DF-13135,문익현,소비자,부평구,인천광역시,대한민국,서울경기,OFF-BI-10004651,사무용품,바인더,"Cardinal Binding Machine, Clear",166712.472,4,0.17,58143.672
158,IN-2015-17489,2016-12-22,2016-12-26,표준 배송,DF-13135,문익현,소비자,부평구,인천광역시,대한민국,서울경기,OFF-AR-10000539,사무용품,필기구,"Boston Markers, Easy-Erase",59508.432,3,0.27,-16318.368
159,IN-2015-46343,2016-09-23,2016-09-27,표준 배송,JW-15220,현유희,기업 고객,의령군,경상남도,대한민국,영남,OFF-LA-10003396,사무용품,라벨,"Avery Color Coded Labels, Laser Printer Compatible",67779,5,0,14841
160,IN-2015-46343,2016-09-23,2016-09-27,표준 배송,JW-15220,현유희,기업 고객,의령군,경상남도,대한민국,영남,OFF-ST-10004325,사무용품,수납용품,"Eldon Box, Single Width",52479,5,0,20961
163,IN-2015-30817,2016-05-08,2016-05-12,표준 배송,GM-14440,정경진,소비자,증평군,충청북도,대한민국,충청,OFF-SU-10004177,사무용품,일반 사무용품,"Fiskars Box Cutter, Easy Grip",151531.2,4,0,33292.8
164,IN-2015-30817,2016-05-08,2016-05-12,표준 배송,GM-14440,정경진,소비자,증평군,충청북도,대한민국,충청,OFF-AR-10001228,사무용품,필기구,"Binney & Smith Pens, Easy-Erase",37362.6,3,0,13035.6
165,IN-2015-30817,2016-05-08,2016-05-12,표준 배송,GM-14440,정경진,소비자,증평군,충청북도,대한민국,충청,FUR-CH-10002213,가구,의자,"Hon Executive Leather Armchair, Black",1398848.4,3,0,139811.4
166,IN-2015-66853,2016-05-19,2016-05-24,빠른 배송,DB-12970,강미연,기업 고객,강서구,서울특별시,대한민국,서울경기,OFF-FA-10000027,사무용품,파스너,"Stockwell Rubber Bands, Bulk Pack",29633.04,2,0.1,12497.04
